epoch,mean_loss
0,1.279486
1,1.098363
2,0.981926
3,0.886656
4,0.844661
5,0.780381
6,0.760324
7,0.739424
8,0.631706
9,0.606289
10,0.565673
11,0.516331
12,0.493647
13,0.449583
14,0.477062
15,0.517158
16,0.376475
17,0.439503
18,0.395624
19,0.311626
20,0.346711
21,0.300297
22,0.279693
23,0.375313
24,0.375557
25,0.417158
26,0.232748
27,0.236112
28,0.218658
29,0.219822
30,0.210061
31,0.191931
32,0.226159
33,0.280183
34,0.168099
35,0.170417
36,0.262766
37,0.230081
38,0.202920
39,0.102670
40,0.126956
41,0.191907
42,0.173867
43,0.181827
44,0.203978
45,0.157857
46,0.138021
47,0.113979
48,0.182418
49,0.114281
50,0.133787
51,0.135460
52,0.185501
53,0.135456
54,0.127520
55,0.119306
56,0.111243
57,0.148207
58,0.120626
59,0.190779
60,0.082914
61,0.087625
62,0.043204
63,0.081974
64,0.124558
65,0.093799
66,0.107761
67,0.139852
68,0.069236
69,0.060808
70,0.084020
71,0.123869
72,0.147006
73,0.079451
74,0.074020
75,0.096842
76,0.095427
77,0.075099
78,0.065915
79,0.079635
80,0.055590
81,0.068012
82,0.021554
83,0.103273
84,0.087923
85,0.047611
86,0.064213
87,0.055274
88,0.059206
89,0.038436
90,0.050075
91,0.054544
92,0.023222
93,0.039215
94,0.101690
95,0.059297
96,0.044069
97,0.070898
98,0.061403
99,0.094282
100,0.072316
101,0.102707
102,0.108217
103,0.043743
104,0.020331
105,0.028799
106,0.087220
107,0.068587
108,0.051893
109,0.054961
110,0.034084
111,0.025466
112,0.069167
113,0.046473
114,0.038541
115,0.016959
116,0.007371
117,0.040840
118,0.045354
119,0.062350
120,0.050037
121,0.078288
122,0.096597
123,0.022255
124,0.063704
125,0.031845
126,0.017298
127,0.042686
128,0.052804
129,0.061117
130,0.044622
131,0.037495
132,0.025535
133,0.016518
134,0.032291
135,0.034106
136,0.036316
137,0.017392
138,0.016349
139,0.021362
140,0.025082
141,0.027586
142,0.004861
143,0.028265
144,0.030207
145,0.052403
146,0.021824
147,0.019609
148,0.004088
149,0.004078
150,0.008987
151,0.037978
152,0.051277
153,0.039520
154,0.036091
155,0.031683
156,0.021362
157,0.027278
158,0.046323
159,0.019706
160,0.025085
161,0.017269
162,0.037698
163,0.031127
164,0.026511
165,0.030334
166,0.025683
167,0.043012
168,0.050895
169,0.029756
170,0.021663
171,0.016084
172,0.026314
173,0.017015
174,0.013027
175,0.010592
176,0.008636
177,0.012328
178,0.023368
179,0.038696
180,0.048051
181,0.016045
182,0.017285
183,0.010593
184,0.006728
185,0.021587
186,0.012810
187,0.007779
188,0.004711
189,0.006790
190,0.018816
191,0.020115
192,0.015104
193,0.010011
194,0.025377
195,0.023004
196,0.024881
197,0.001649
198,0.008701
199,0.022671
200,0.010666
201,0.045796
202,0.018635
203,0.018005
204,0.061018
205,0.032339
206,0.019296
207,0.010959
208,0.023618
209,0.028992
210,0.031588
211,0.054604
212,0.031326
213,0.041633
214,0.012309
215,0.022663
216,0.013891
217,0.011958
218,0.008212
219,0.002313
220,0.015466
221,0.013519
222,0.027298
223,0.017202
224,0.004857
225,0.011160
226,0.014497
227,0.031289
228,0.012834
229,0.032709
230,0.040850
231,0.059906
232,0.012543
233,0.020058
234,0.009931
235,0.028515
236,0.015718
237,0.002607
238,0.016288
239,0.070345
240,0.035331
241,0.060525
242,0.019750
243,0.016714
244,0.021816
245,0.007576
246,0.021524
247,0.011188
248,0.023990
249,0.013774
250,0.012159
251,0.012426
252,0.003471
253,0.022798
254,0.007063
255,0.003546
256,0.006649
257,0.001341
258,0.016031
259,0.005358
260,0.003073
261,0.001440
262,0.011224
263,0.003744
264,0.002585
265,0.003585
266,0.008112
267,0.001528
268,0.003305
269,0.011535
270,0.006698
271,0.002519
272,0.005192
273,0.003963
274,0.001478
275,0.008789
276,0.001070
277,0.001442
278,0.002023
279,0.004398
280,0.003294
281,0.004281
282,0.001666
283,0.005017
284,0.006938
285,0.001343
286,0.002343
287,0.003938
288,0.003592
289,0.000670
290,0.001984
291,0.001236
292,0.000651
293,0.002412
294,0.004564
295,0.001495
296,0.002328
297,0.001135
298,0.001778
299,0.005052
300,0.000499
301,0.000399
302,0.000952
303,0.002523
304,0.014390
305,0.001410
306,0.001762
307,0.000345
308,0.000351
309,0.001602
310,0.000563
311,0.002241
312,0.004280
313,0.000730
314,0.009007
315,0.001518
316,0.005510
317,0.001370
318,0.002252
319,0.004183
320,0.005636
321,0.000655
322,0.000269
323,0.001709
324,0.001824
325,0.009985
326,0.001314
327,0.001040
328,0.003661
329,0.000774
330,0.004507
331,0.001295
332,0.002674
333,0.001317
334,0.003808
335,0.003864
336,0.001112
337,0.000630
338,0.000646
339,0.000953
340,0.000843
341,0.001716
342,0.005094
343,0.000576
344,0.001030
345,0.002844
346,0.001087
347,0.000814
348,0.000359
349,0.001796
350,0.002656
351,0.001315
352,0.001575
353,0.000636
354,0.001326
355,0.000880
356,0.000296
357,0.001233
358,0.001367
359,0.007682
360,0.000394
361,0.001177
362,0.001624
363,0.006715
364,0.000520
365,0.007608
366,0.001184
367,0.000871
368,0.000335
369,0.000846
370,0.002286
371,0.004683
372,0.000899
373,0.004838
374,0.000507
375,0.008401
376,0.000939
377,0.001235
378,0.001967
379,0.004893
380,0.000408
381,0.000313
382,0.003139
383,0.000488
384,0.003970
385,0.000623
386,0.000803
387,0.004217
388,0.001499
389,0.002018
390,0.001801
391,0.001978
392,0.003860
393,0.001647
394,0.000641
395,0.002904
396,0.004288
397,0.000433
398,0.001621
399,0.000913
400,0.001227
401,0.001516
402,0.000390
403,0.000854
404,0.000571
405,0.000399
406,0.000676
407,0.008339
408,0.000883
409,0.001579
410,0.001270
411,0.006945
412,0.002497
413,0.003998
414,0.000371
415,0.002181
416,0.000953
417,0.002337
418,0.001075
419,0.000317
420,0.002541
421,0.000414
422,0.000592
423,0.000992
424,0.000430
425,0.013288
426,0.006093
427,0.003073
428,0.000526
429,0.004076
