epoch,mean_loss
0,1.383717
1,1.360671
2,1.325044
3,1.288376
4,1.258404
5,1.236694
6,1.198514
7,1.194603
8,1.156793
9,1.145136
10,1.102310
11,1.081906
12,1.054466
13,1.045061
14,1.044377
15,1.062779
16,1.030314
17,1.011729
18,1.052926
19,1.018100
20,0.986139
21,0.977670
22,0.980259
23,0.962116
24,0.933554
25,0.952213
26,0.956747
27,0.933746
28,0.930675
29,0.908773
30,0.909754
31,0.896162
32,0.903744
33,0.914921
34,0.898922
35,0.886888
36,0.891468
37,0.887929
38,0.856730
39,0.866595
40,0.869013
41,0.865164
42,0.848677
43,0.848864
44,0.840844
45,0.854195
46,0.841476
47,0.859007
48,0.843343
49,0.846091
50,0.823386
51,0.852218
52,0.826682
53,0.813491
54,0.837442
55,0.834038
56,0.846894
57,0.825167
58,0.817199
59,0.818967
60,0.808310
61,0.816458
62,0.813991
63,0.818935
64,0.810953
65,0.792407
66,0.799198
67,0.785076
68,0.794980
69,0.813412
70,0.799870
71,0.807350
72,0.798015
73,0.810851
74,0.805498
75,0.797001
76,0.790631
77,0.783512
78,0.794118
79,0.787515
80,0.774269
81,0.796564
82,0.782983
83,0.781336
84,0.789576
85,0.785486
86,0.770803
87,0.792828
88,0.775362
89,0.787818
90,0.777458
91,0.778345
92,0.775771
93,0.775730
94,0.773528
95,0.781994
96,0.769832
97,0.772648
98,0.788175
99,0.773677
100,0.774422
101,0.768860
102,0.768821
103,0.769208
104,0.774419
105,0.776539
106,0.781229
107,0.777602
108,0.762780
109,0.779413
110,0.773792
111,0.763147
112,0.759422
113,0.757828
114,0.761388
115,0.762137
116,0.764428
117,0.766227
118,0.766633
119,0.761574
120,0.754865
121,0.759231
122,0.764963
123,0.756385
124,0.753022
125,0.759323
126,0.767249
127,0.761168
128,0.753600
129,0.756468
130,0.749860
131,0.754297
132,0.757391
133,0.760463
134,0.763601
135,0.767185
136,0.759108
137,0.771129
138,0.765738
139,0.754962
140,0.746865
141,0.758479
142,0.757882
143,0.752277
144,0.754074
145,0.755595
146,0.766329
147,0.759385
148,0.755531
149,0.755363
150,0.761687
151,0.757103
152,0.755470
153,0.748534
154,0.753469
155,0.760242
