epoch,mean_loss
0,1.386631
1,1.366447
2,1.327795
3,1.284319
4,1.265864
5,1.233832
6,1.205331
7,1.184223
8,1.166736
9,1.159311
10,1.138788
11,1.089605
12,1.081759
13,1.072778
14,1.073421
15,1.057991
16,1.053479
17,1.032651
18,1.010889
19,1.011462
20,0.996196
21,0.976994
22,0.959913
23,0.963185
24,0.951803
25,0.940498
26,0.938238
27,0.951467
28,0.939329
29,0.912270
30,0.929777
31,0.909261
32,0.913189
33,0.923509
34,0.914581
35,0.897142
36,0.879722
37,0.886632
38,0.875930
39,0.881490
40,0.863368
41,0.875723
42,0.873935
43,0.877236
44,0.872966
45,0.858326
46,0.863417
47,0.867468
48,0.858922
49,0.864466
50,0.861057
51,0.834365
52,0.843879
53,0.808954
54,0.835418
55,0.820476
56,0.830385
57,0.829999
58,0.817848
59,0.813295
60,0.806296
61,0.797102
62,0.834486
63,0.813978
64,0.797701
65,0.796153
66,0.800344
67,0.802379
68,0.795083
69,0.801643
70,0.792170
71,0.800777
72,0.786762
73,0.790668
74,0.803653
75,0.790787
76,0.788442
77,0.792471
78,0.791164
79,0.786879
80,0.768928
81,0.775972
82,0.774115
83,0.778511
84,0.780565
85,0.770465
86,0.780343
87,0.775365
88,0.767005
89,0.771618
90,0.771790
91,0.776034
92,0.772848
93,0.781087
94,0.780102
95,0.774789
96,0.771197
97,0.777590
98,0.761283
99,0.769216
100,0.778080
101,0.770122
102,0.756713
103,0.767417
104,0.762418
105,0.764689
106,0.761573
107,0.765547
108,0.764943
109,0.756600
110,0.759857
111,0.754562
112,0.761914
113,0.766893
114,0.762606
115,0.756565
116,0.763891
117,0.756635
118,0.757937
119,0.763170
120,0.764113
121,0.766930
122,0.757539
123,0.759433
124,0.758462
125,0.761110
126,0.759266
127,0.755576
128,0.752906
129,0.749156
130,0.758827
131,0.762494
132,0.763396
133,0.753178
134,0.757144
135,0.760284
136,0.755116
137,0.751541
138,0.756791
139,0.755078
140,0.760692
141,0.748322
142,0.757407
143,0.757287
144,0.759001
145,0.756766
146,0.760914
147,0.759231
148,0.755069
149,0.752902
150,0.768192
151,0.754684
152,0.751202
153,0.752353
154,0.753648
155,0.760981
156,0.751608
157,0.751340
158,0.757136
159,0.752104
160,0.755852
161,0.756964
162,0.754503
163,0.759283
164,0.752256
165,0.755613
166,0.750683
167,0.752854
168,0.751630
169,0.761761
170,0.763716
171,0.749789
172,0.754215
173,0.752504
174,0.751834
175,0.749722
176,0.751654
177,0.754900
178,0.750818
179,0.758660
180,0.754378
181,0.758927
182,0.750038
183,0.748443
184,0.747854
185,0.749010
186,0.748371
187,0.752590
188,0.752178
189,0.760062
190,0.754754
191,0.750448
192,0.753634
193,0.754254
194,0.758254
195,0.753840
196,0.751430
197,0.749348
198,0.747896
199,0.751150
200,0.750097
201,0.756073
202,0.763643
203,0.761733
204,0.756216
205,0.753524
206,0.755823
207,0.750556
208,0.754170
209,0.764175
210,0.759244
211,0.753819
212,0.753387
213,0.753682
214,0.754286
215,0.747400
216,0.751765
217,0.751727
218,0.752583
219,0.749043
220,0.749130
221,0.749906
222,0.747915
223,0.748762
224,0.751999
225,0.747738
226,0.747230
227,0.748805
228,0.746830
229,0.751456
230,0.749906
231,0.748014
232,0.748230
233,0.751341
234,0.754390
235,0.752348
236,0.747620
237,0.747593
238,0.747892
239,0.749691
240,0.751280
241,0.749112
242,0.747867
243,0.751773
244,0.752623
245,0.756997
246,0.752101
247,0.747534
248,0.747038
249,0.749656
250,0.747255
251,0.748404
252,0.753212
253,0.749071
254,0.748305
255,0.747215
256,0.748775
257,0.746193
258,0.747094
259,0.750371
260,0.749708
261,0.747090
262,0.746051
263,0.746429
264,0.747435
265,0.746762
266,0.747016
267,0.746235
268,0.746411
269,0.746479
270,0.746963
271,0.746564
272,0.748279
273,0.749979
274,0.746526
275,0.749608
276,0.747200
277,0.748679
278,0.747192
279,0.747199
280,0.748724
281,0.748893
282,0.748964
283,0.751104
284,0.752241
285,0.748861
286,0.751648
287,0.751842
288,0.750191
289,0.755520
290,0.752268
291,0.749775
292,0.750225
293,0.755039
294,0.749711
295,0.747701
296,0.748977
297,0.747286
298,0.749484
299,0.747804
300,0.752773
301,0.747146
302,0.749463
303,0.747759
304,0.748784
305,0.746899
306,0.747187
307,0.749659
308,0.746913
309,0.746385
310,0.749564
311,0.747462
312,0.746948
313,0.746231
314,0.748202
315,0.748504
316,0.746262
317,0.747915
318,0.746132
319,0.747663
320,0.746772
321,0.747557
322,0.747821
323,0.746181
324,0.747017
325,0.746714
326,0.749032
327,0.746513
328,0.747946
329,0.746719
330,0.746055
331,0.747210
332,0.749246
333,0.747064
334,0.745938
335,0.746300
336,0.747455
337,0.747335
338,0.746431
339,0.745998
340,0.746923
341,0.746633
342,0.746111
343,0.746649
344,0.746752
345,0.746432
346,0.746386
347,0.746411
348,0.746510
349,0.746556
350,0.750386
351,0.746212
352,0.747120
353,0.746408
354,0.746740
355,0.746067
356,0.746075
357,0.749267
358,0.747791
359,0.746354
360,0.744325
361,0.746487
362,0.747532
363,0.745919
364,0.746224
365,0.746130
366,0.746465
367,0.745991
368,0.747287
369,0.746102
370,0.746416
371,0.746203
372,0.746300
373,0.746366
374,0.746222
375,0.746191
376,0.747246
377,0.746323
378,0.745923
379,0.747518
380,0.744093
381,0.748350
382,0.748364
383,0.746106
384,0.746704
385,0.746653
386,0.746378
387,0.747657
388,0.746712
389,0.747441
390,0.747010
391,0.746304
392,0.746479
393,0.745925
394,0.746322
395,0.748935
396,0.744037
397,0.746094
398,0.746116
399,0.746221
400,0.746203
401,0.746762
402,0.745976
403,0.746736
404,0.746211
405,0.746480
406,0.746226
407,0.747040
408,0.746336
409,0.747171
410,0.746601
411,0.746120
412,0.746291
413,0.746580
414,0.746343
415,0.746104
416,0.747277
417,0.746797
418,0.745964
419,0.748534
420,0.746511
421,0.747176
422,0.746366
423,0.747298
424,0.746918
425,0.746296
426,0.747526
427,0.745996
428,0.747634
429,0.745922
430,0.746064
431,0.747700
432,0.744658
433,0.746514
434,0.746330
435,0.746978
436,0.746590
437,0.746239
438,0.746283
439,0.746758
440,0.746804
441,0.747499
442,0.747850
443,0.746160
444,0.746067
445,0.746034
446,0.745915
447,0.746319
448,0.747343
449,0.746820
450,0.746326
451,0.746050
452,0.746211
453,0.746140
454,0.746022
455,0.746251
456,0.746585
457,0.746051
458,0.746164
459,0.746850
460,0.745966
461,0.745875
462,0.746014
463,0.745980
464,0.746154
465,0.746502
466,0.746182
467,0.746174
468,0.745997
469,0.746069
470,0.746338
471,0.746043
472,0.746957
473,0.746033
474,0.746614
475,0.745820
476,0.746534
477,0.746117
478,0.746466
479,0.746174
480,0.746014
481,0.747359
