epoch,mean_loss
0,1.367809
1,1.309722
2,1.252481
3,1.221353
4,1.153272
5,1.105444
6,1.050033
7,0.977735
8,0.989620
9,0.918479
10,0.846002
11,0.816507
12,0.875018
13,0.724915
14,0.752636
15,0.690445
16,0.691792
17,0.673422
18,0.655991
19,0.600789
20,0.631898
21,0.604357
22,0.455436
23,0.420349
24,0.498889
25,0.476778
26,0.433305
27,0.441564
28,0.354728
29,0.328916
30,0.437404
31,0.367760
32,0.273000
33,0.330526
34,0.279819
35,0.280183
36,0.293159
37,0.239108
38,0.204867
39,0.249269
40,0.211417
41,0.123065
42,0.176156
43,0.222252
44,0.212398
45,0.212629
46,0.203974
47,0.159604
48,0.174321
49,0.110138
50,0.124380
51,0.136482
52,0.196231
53,0.167070
54,0.126597
55,0.080023
56,0.162858
57,0.068331
58,0.172407
59,0.125326
60,0.104024
61,0.123837
62,0.108696
63,0.097953
64,0.141383
65,0.090328
66,0.112254
67,0.092751
68,0.122717
69,0.149090
70,0.132952
71,0.130816
72,0.088081
73,0.153949
74,0.047402
75,0.050321
76,0.112983
77,0.137511
78,0.089555
79,0.052239
80,0.044484
81,0.047733
82,0.048946
83,0.048627
84,0.059648
85,0.056264
86,0.059049
87,0.083666
88,0.052702
89,0.046479
90,0.054933
91,0.034924
92,0.044803
93,0.082785
94,0.068870
95,0.086107
96,0.032528
97,0.063036
98,0.070278
99,0.032050
100,0.063525
101,0.064550
102,0.115229
103,0.069716
104,0.052770
105,0.073043
106,0.095173
107,0.071180
108,0.029673
109,0.035856
110,0.051231
111,0.029586
112,0.029110
113,0.023854
114,0.023280
115,0.027514
116,0.031801
117,0.021960
118,0.033276
119,0.027476
120,0.046675
121,0.067115
122,0.093543
123,0.075174
124,0.048799
125,0.088415
126,0.026550
127,0.048111
128,0.052761
129,0.049112
130,0.058564
131,0.013383
132,0.016327
133,0.008750
134,0.019506
135,0.024287
136,0.014919
137,0.005164
138,0.018848
139,0.060043
140,0.047555
141,0.011246
142,0.033062
143,0.038807
144,0.017991
145,0.037493
146,0.103284
147,0.056741
148,0.050471
149,0.030849
150,0.040267
151,0.040522
152,0.017007
153,0.038722
154,0.022336
155,0.045898
156,0.007571
157,0.005409
158,0.047556
159,0.018229
160,0.012268
161,0.011434
162,0.022826
163,0.038086
164,0.019351
165,0.052784
166,0.022932
167,0.017777
168,0.005990
169,0.014069
170,0.011005
171,0.022789
172,0.014621
173,0.009928
174,0.023376
175,0.007690
176,0.022816
177,0.003875
178,0.016559
